,0,1,2,3,4,5,6
46,Po7Jy_ggNEQSRi1GmViGgOq4UELyUF6p9p1DFpYpxXFjf9hB,W2DcQXqlkja4DagZe-8oGuWu5ARhD5eVPx3bGmGq8FZEW6bzSo_PD1hv,Pyaea8bu3_WTCb-oEhye7ro681b309ldOVS7Ja9uiSDsdiHRDL4bpzXnIJRLZ9Y5KQFOjUh6Y4ijEg,qabboy,4495.0,1609433149000.0,112.0
47,agO3N_VkgXo1Qd2ZS-HYo0rPN9B0TUrfZkDgvkaIIVJwZor7,w5Lv-e3xzu9rCzHXHo684xnKOKVR81FIy0Cn9G-B5o5xUPRNMeeqMMd0,nPQ89tPVucyCnXwDKvMa-_JBHS9xlJYR9z3_rPUmByIkdPLhxskQ2k3P1dvjIPJ3pQ-qaEle_xd-1Q,SoulRN,4834.0,1610393023000.0,30.0
48,VEVZJOEU7ZhoSScCI8xGJ1zkyb8iOFD4tPXRB87XZBgKFQ9P,1emOIDJec4OJmK4jm7ayfvs_qG7m60qGjgtacTQ4oRCcggMPwCyugTmk,68iRsGvUKFFMdy69BL_qtxCZZRTjlBpvVL1Y8QOKAhBi4pMtMuubay8x5KDmGGqDFb0WdEPsPtozsg,trabis,1116.0,1611237294000.0,81.0
49,IOBEbkBN3HOPXQ_Na4xuPhHo9Ae9OsdMg5xwLwsH5i0xp6eP,q35A-Z-DUcK86mvff04YvhJz3P5AapaF8Y11RXwzc8V9A7OQ2ZrzRZPp,89Uk4pit2rZCOjkfg9KT-vCpI7_eskBOxC0rkkROl-_s84ekft9Yi7vKK02CcU7dtiJ-hQDxezYBrA,Chung18VN,4379.0,1600667666000.0,15.0
50,cl7aHGOLQK2xPBhq-DLzqPxOoL2x56R4t_TG-n7VGpzxSGs5,59UOJmMY485FjMKKYFGaLPs42YODynnHTV7BU-tO-3lycNavgLx4QTAC,X1fythDfuuandE1Sa1YZX48AnPqJ_1nGeEeLLo7JRiVNtrEjFeHKEeUbvonwQkWdML3eBk3a5y8ygw,TTVAK,4834.0,1611364865196.0,196.0
51,J91qspu1F5LHdEECIRNrmC_tCHV_02Mx76CKcPGjPyktWqGm,c-Up4cYwVCLCm-arXIsBb1VH4UbOt1aFEtMjtbtTL_zEw5ctJwPyWT-z,1bsztwOZA7kmSYhMaxouH66ELNH6-8_rHxyI-dN-CV7B61JKoHjyok2aHbqANIX1nOJc7vcxrhGnlA,0pli0,4857.0,1611370346765.0,259.0
52,lAHX8BIAviZ50JeYSgv_z4NxQV8Qny2MTTD06EQHLgp7jNnC,wLfM8BwMrwozZ_iKBRSr13DorwFtfC3BNBSHx3a9rzJDE9Zhnpeu5ERy,K78wjVqFaVAdexJKg4Psh3mzjgeDlmbspZF4h9oNvRCrHqBBXG98L52Trwz98AzfTsoHSi8zNMR58A,HeiPiLL,4571.0,1607427020000.0,89.0
53,Dc_p_c2A5rSlRMFvtewf0rfpCvTWuqOM7S8jaNs0dRHnjuyI,yfOjJvYM5p4fKa3rUeYyxgJ0AYfgJxGDW5LhPsmd8wX1rSUQT2jsvsIc,T-qQHjMDnC-JBQgUnURq2lN-r-tRUfo7pOsOgcNDN3rIr1fhY8veiJ_fbyG9VxTi2SqeZLAd0ri1sg,yiny4ngster,4778.0,1603915422000.0,39.0
54,DjSZwdwV4zS04UINNm7DEZPpZdToFCL_NC8imJNM6PZswuHv,KUJdog5K0-ZpULGqXdgxLHkkoGvS_-XublaWnBseQml4Yuc9ih2A8VxZ,yO0GlTJ5hbgH9gbAfUeZ7OaYPNWfJfyaRd3BTtJ3tNSHOOsOFsj--JPKmOZ1AStnSW131HZhTaGCMQ,Rachelle138,3545.0,1609648000000.0,30.0
55,m8cDUACboH1lN4agpl_1R9VRte1t52K8-kK1CcWdmFogsjz8,lbAIwv5ear7l-pImOwQHhR9bUI2jB2dc8m6GWaCJ2OTEbftZTS2EX13C,uSQkj0sn8ADG-zhTYXAfvENKH_3Yn-LpWPbMiUO2XmYDmVru1eub875u4X31L2HCVSM-2Y77BZL_dQ,LyrasMirror,4793.0,1611276559000.0,96.0
56,NG7f3EOM4mh5TH9wYxPLmMKv5t5AczDyoqALRcdY-yKa4u6v,GeipHIWZ7W9QcKoIhyfP1XX2q9XLqQs_u2TRWywoZnZOka8Ppl9F-36Z,A_i5c01rSlS-70vseO2pcbDaEv9ZsP3s6wbtIVaHwj42HBHfQOcAG8xGK6ogDd3m5xBzOgpwW2RYFw,LiquidJoker,4862.0,1611373879000.0,72.0
57,PrSUjEABdGqTXM2TIMYfQK_wZCf-QdLklVd7q0ISi93qDu-g,Yc8HXzG6pw3q_KK9lvVPYuTyQJnRHcwSxjwOs5YN5u7JHiHE9a6z20EU,0KU-51hKT4sQunYOveDvaGh7EyeTK-GYg4WzLtkKDF5jiFyp5XQWisn7UzI0Z--2EePyuRMOl2_sVg,Chilled Toast,4778.0,1610607617000.0,32.0
58,8hcmd_nUFPUGQ1PWEQeVDRkFOpyZjxrojrLdEfqAt2SK68mB,soOtYhWOFKFicNMckQSxfDti88lQuZugSa9muQqp5D6bIDfCVlYMc-YD,htDAcaISWhPF20KAT2PH2V4cxT8kvULEG2Bh03YHf3PfBfeIue_WysgfLUWTTdimS3fmWRxerzxD-w,Green hair frog,4653.0,1610944062000.0,148.0
59,Xct7dCsi8DyClskF_SP1TtLQpOsO5ty96Gj-hF93SzIBKvzx,xOkqIrkTYjEGlqhijpeIV4LC6WrcEfoLkrpi7HSjpaTdBoYBimD-B7jm,g7OHqS7fa27jyIZCWud5Bl8YSuJ6JLLwDwb9XXb_xrmvKU3EYZ1anZDia3X_nSbk-X_70GevnI_HWA,Stirlingkmss,4832.0,1611252033000.0,102.0
60,05Js45eVUjQl7UaChuu9KUX131NhbXNvwoD_2k6GteqwgtuQ,y5vn67PkKCDcnJLKzeMRpIIFfoRMCoVOKweJ9QNfG7mWQ7Yol4KDebfq,vjxw9K6Theza_HauCkOQ6lUhf4LuqGLc8aluiujKrOb-D3jeCfB1xv5VOkdBfarXYORZ_Y5X2vDqwg,Ravens Light,4794.0,1611390521000.0,360.0
61,sYbbEkZyqtEcl2AALAqKOPj7rSPuVz9kITz-aPu9EExi5fV0,aCfZBTCl7K5MTI3fu_KoHFgjN5UCqF-gOg8LThdWG_q7n3GOk_A2y-Pw,1SCvtkmZ87zxhtei9WjAsdjeG3NrFrPQZPaI2D8GzNo2HiPQ6-Nw9AB7GbLf-sgojS0FIyLbYUtLpw,Predicted l0l,2091.0,1610370584000.0,79.0
62,ICMGDivBB8C7k1JlkMCMSuSlcv_86j6hc8jwnF2qQJ2GFNaG,ld2WGewIUtEyPlFzhru53piFj-bPBXQPsvkZQ0UwoSLcXjeVnjLp-dvR,meOHuAYb_DLxSZsCocUAsIX50QC5l7ybmCAP5cKhbgQGqVa4QNrN06xSvnsqDTVkwcwrXkQxyN8NUQ,xqutw,4658.0,1611382206000.0,95.0
63,uAwOX87lbKMpA763ksi2fnx8t6LeH802lfpXX5vCnihlDOt4,K7iq7nuBMqTY_9e0VB-wfOITvWqiMDJ_7M58RrSEsV3eMjnMx2NPDfp5,zc90_AKk7dkVju4SEny8gl4PloYoQQickt6aCB_el3JmqHF3vGo7bUF6_9M6Yhpvcl1XFh36a4XCOA,B cereus mate,21.0,1611266053000.0,53.0
64,l4JiF5Rb6Kyf49OhGwaOYbMUGtjbEhxP0WD_gR-2STBkXUrg,o54zFpsmBmU3FXZwCfvAkJuhumGt2zsKqtmsXm8rLKFKMGHnyphjOXrH,eh2RSNaX1pOJQPtV7pKz_zcE1q01PVRjg78zXKKBRbzWsBbXOPHzaG05d_NWgmPENLljTRmxoU8WyA,Zargus15,3545.0,1611355603000.0,30.0
65,pjluEbAdJIQJtPXNjfAxozvqvrEX0OTNzilbyKY8buxvX1ZW,jpWbv2pF9xpR5unSW-FmcJmLAeXOIoUt5toeeGC4MP10C5RzPizKkYJ9,N5IxrPGstHNkkCYG5GL08coSKhFEx5KR8lqva0Qpj3NGznnGVMI_COrj3pWxqS9JugHQpLdAHfd8fA,EeIs,4805.0,1611375784000.0,162.0
66,x1G_xFW1aRjtZeZSME_mOy7s_ScuYOvc1EmplMhDu2k_ufGE,BSzh9H1XeDSew-ODzMIgvTS-R1rlF0L_QvnfP4nt_HBYTkOzSeQIeq1d,9K-z-k0n7DS9UwtAXnTSSZzG-jePXqvP89dcenXP6RWTIaH0kUH6e2h3ywTU5MjymaR-LhTCN9YbOQ,Claerlove77,1629.0,1608710938000.0,31.0
67,8UNQzfEJ8V3RmgguMHXrdThfinQKK_mEZRRp_kqWVGrdjxyR,4lC-ZuqDKP2zslnRXX0HhG-S6sI3boyi7jlCyHTtckpgXjMNMUJXl02Y,yy_hsvGJDlEXNpvwWlumy3ljqv0azkUkJHS05sGObXx7hbulXXEzQ13rqKDJtPUWWDvZXBLRO7-_aw,StSTheIronclad,4364.0,1610252824000.0,131.0
